year,major,institution,m_attrition,f_attrition,t_attrition,participant,degrees
2012,Computer Science,493,0.1400343642611684,0.12432432432432433,0.13787991104521868,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,493,0.10921501706484642,0.11194029850746269,0.10963646855164455,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,493,0.08294117647058824,0.07848837209302326,0.0821917808219178,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,38,0.05106382978723404,0.058823529411764705,0.05204460966542751,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,38,0.08695652173913043,0.06349206349206349,0.08311688311688312,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,422,0.004405286343612335,0.013333333333333334,0.006622516556291391,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,422,0.012,0.0,0.009036144578313253,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,422,0.015479876160990712,0.008928571428571428,0.013793103448275862,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,422,0.011111111111111112,0.007633587786259542,0.010183299389002037,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2008,Computer Science,117,0.16831683168316833,0.11904761904761904,0.16367713004484305,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Computer Science,117,0.13839285714285715,0.15,0.13934426229508196,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Computer Science,117,0.1373873873873874,0.1320754716981132,0.13682092555331993,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,117,0.1944990176817289,0.14754098360655737,0.18947368421052632,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,117,0.17891373801916932,0.16901408450704225,0.17790530846484937,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,117,0.16838046272493573,0.11818181818181818,0.16216216216216217,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,72,0.10828025477707007,0.0,0.09659090909090909,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,72,0.12941176470588237,0.1,0.12631578947368421,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,487,0.012345679012345678,0.0,0.010917030567685589,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,487,0.006211180124223602,0.0,0.005494505494505495,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,487,0.010714285714285714,0.0,0.009404388714733543,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,319,0.08603896103896104,0.09090909090909091,0.08651026392961877,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,319,0.08848314606741572,0.04,0.08386277001270648,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,319,0.06382978723404255,0.0759493670886076,0.06492027334851937,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Computer Science,26,0.007874015748031496,0.012048192771084338,0.008902077151335312,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,26,0.01079136690647482,0.009345794392523364,0.01038961038961039,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,194,0.11467889908256881,0.058823529411764705,0.11063829787234042,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Computer Science,194,0.16097560975609757,0.16666666666666666,0.1615720524017467,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,194,0.13,0.037037037037037035,0.11894273127753303,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,500,0.04838709677419355,0.0,0.0449438202247191,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Computer Science,346,0.5217391304347826,0.14285714285714285,0.4716981132075472,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,346,0.12857142857142856,0.09090909090909091,0.12345679012345678,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,346,0.12745098039215685,0.0,0.10569105691056911,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,75,0.17647058823529413,0.0,0.14634146341463414,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2013,Computer Science,75,0.2608695652173913,0.0,0.23076923076923078,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2012,Computer Science,75,0.15789473684210525,0.0,0.13043478260869565,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2010,Computer Science,75,0.15,0.0,0.14285714285714285,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2014,Computer Science,373,0.14146341463414633,0.10714285714285714,0.13733905579399142,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,373,0.10909090909090909,0.125,0.11049723756906077,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,373,0.05223880597014925,0.2857142857142857,0.07432432432432433,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,41,0.1603563474387528,0.12121212121212122,0.1553398058252427,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,41,0.12569832402234637,0.08196721311475409,0.11933174224343675,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,41,0.07272727272727272,0.08695652173913043,0.07446808510638298,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,41,0.14381270903010032,0.1282051282051282,0.14201183431952663,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,46,0.12371134020618557,0.2222222222222222,0.1391304347826087,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,46,0.17391304347826086,0.125,0.16470588235294117,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,46,0.10526315789473684,0.15384615384615385,0.11428571428571428,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,46,0.038461538461538464,1.0,0.09090909090909091,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,489,0.3283582089552239,0.13636363636363635,0.3094170403587444,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,489,0.23660714285714285,0.30434782608695654,0.242914979757085,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,489,0.26422764227642276,0.2,0.2572463768115942,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,489,0.3448275862068966,0.25,0.3375796178343949,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,238,0.17582417582417584,0.23076923076923078,0.18269230769230768,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,238,0.16071428571428573,0.23076923076923078,0.168,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,238,0.16153846153846155,0.2,0.16666666666666666,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,194,0.1261682242990654,0.05263157894736842,0.12017167381974249,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,194,0.1724137931034483,0.11764705882352941,0.16818181818181818,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,469,0.04337899543378995,0.03278688524590164,0.04208416833667335,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,194,0.1206896551724138,0.2777777777777778,0.132,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,64,0.06290115532734275,0.07339449541284404,0.06418918918918919,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,64,0.059447983014861996,0.060810810810810814,0.05963302752293578,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,64,0.04899135446685879,0.03349282296650718,0.0464,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,64,0.06072874493927125,0.04727272727272727,0.05827814569536424,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,324,0.08571428571428572,0.06666666666666667,0.08292682926829269,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,324,0.12562814070351758,0.12903225806451613,0.12608695652173912,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,324,0.08888888888888889,0.0967741935483871,0.08984375,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,324,0.10407239819004525,0.09375,0.10276679841897234,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,500,0.04417670682730924,0.0,0.03914590747330961,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,500,0.029801324503311258,0.0,0.026470588235294117,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,500,0.06914893617021277,0.0425531914893617,0.06619385342789598,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,38,0.06511627906976744,0.037383177570093455,0.0595903165735568,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science,490,0.1328125,0.12121212121212122,0.1314878892733564,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,490,0.1576923076923077,0.18518518518518517,0.1602787456445993,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,490,0.14012738853503184,0.34210526315789475,0.16193181818181818,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,490,0.11917098445595854,0.16326530612244897,0.12413793103448276,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,373,0.125,0.0975609756097561,0.12131147540983607,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,346,0.11507936507936507,0.12903225806451613,0.1178343949044586,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,75,0.20588235294117646,0.0,0.175,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2015,Computer Science,72,0.06451612903225806,0.029411764705882353,0.05976095617529881,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,324,0.09649122807017543,0.05263157894736842,0.09022556390977443,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,157,0.0843520782396088,0.03529411764705882,0.07973421926910298,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,157,0.06362672322375397,0.06976744186046512,0.0641399416909621,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,157,0.05430327868852459,0.0390625,0.05253623188405797,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,157,0.11031664964249234,0.08163265306122448,0.10553191489361702,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,489,0.26517571884984026,0.23809523809523808,0.2619718309859155,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,216,0.5417439703153989,0.5555555555555556,0.5435483870967742,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,238,0.17692307692307693,0.23076923076923078,0.1858974358974359,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,238,0.18023255813953487,0.20689655172413793,0.18407960199004975,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BS),336,0.07384615384615385,0.030303030303030304,0.06983240223463687,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BS),336,0.05309734513274336,0.030303030303030304,0.051075268817204304,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BS),336,0.052941176470588235,0.08333333333333333,0.05585106382978723,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,46,0.1678832116788321,0.125,0.16149068322981366,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,41,0.24151696606786427,0.3333333333333333,0.25177304964539005,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,500,0.04975922953451043,0.03409090909090909,0.04781997187060478,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,249,0.10033444816053512,0.12195121951219512,0.10294117647058823,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,249,0.090625,0.20512820512820512,0.10306406685236769,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,249,0.10049019607843138,0.10909090909090909,0.10151187904967603,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,249,0.082039911308204,0.09230769230769231,0.08333333333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science,216,0.2185792349726776,0.15789473684210525,0.21040189125295508,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science,216,0.22119815668202766,0.2571428571428571,0.2261904761904762,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,216,0.2645739910313901,0.21794871794871795,0.25763358778625955,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science,6,0.09310761789600967,0.10576923076923077,0.09452201933404941,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science,6,0.08404255319148936,0.04411764705882353,0.07899628252788105,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2005,Computer Science (BS),424,0.06818181818181818,0.0,0.06,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2006,Computer Science (BS),424,0.5,0.5,0.5,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Computer Science (BS),424,0.13157894736842105,0.16666666666666666,0.13636363636363635,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BS),182,0.12105263157894737,0.09375,0.11711711711711711,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BS),182,0.09523809523809523,0.07317073170731707,0.09163346613545817,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BS),182,0.040892193308550186,0.11627906976744186,0.05128205128205128,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BS),182,0.11355311355311355,0.0625,0.1059190031152648,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BS),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BS),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BS),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BS),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BS),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BS),475,0.0,0.04,0.0078125,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BS),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BS),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science (BS),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science (BS),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2005,Computer Science (BA),424,0.25925925925925924,0.5,0.296875,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2006,Computer Science (BA),424,0.37735849056603776,0.1111111111111111,0.3387096774193548,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Computer Science (BA),424,0.2,0.6666666666666666,0.2459016393442623,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Computer Science (BA),131,0.2222222222222222,0.0,0.16666666666666666,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2008,Computer Science (BA),131,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BA),182,0.35064935064935066,0.23529411764705882,0.3391812865497076,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BA),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BA),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BA),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BA),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Science (BA),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BA),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BA),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BA),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science (BA),475,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Science (BA),146,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Science (BA),336,0.125,0.3333333333333333,0.14285714285714285,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Science (BA),336,0.10526315789473684,0.0,0.09523809523809523,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Science (BA),336,0.22,0.2,0.21818181818181817,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Computer Software and Media Applications,373,0.10526315789473684,0.0,0.08695652173913043,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Computer Software and Media Applications,373,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Software and Media Applications,373,0.16279069767441862,0.0,0.14583333333333334,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Software and Media Applications,373,0.23529411764705882,0.2222222222222222,0.23255813953488372,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Computer Software and Media Applications,373,0.13636363636363635,0.16666666666666666,0.14285714285714285,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Web Design ,97,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Web Design ,97,0.15384615384615385,0.0,0.06060606060606061,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Web Design ,97,0.11764705882352941,0.0,0.05714285714285714,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Web Design ,97,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Software and Media Applications,216,0.2926829268292683,0.21739130434782608,0.265625,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2015,Information Assurance/Cybersecurity,216,0.5274725274725275,0.6666666666666666,0.54,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Information Assurance/Cybersecurity,216,0.10236220472440945,0.0,0.09285714285714286,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Information Assurance/Cybersecurity,216,0.18556701030927836,0.16666666666666666,0.1834862385321101,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Information Assurance/Cybersecurity,216,0.22340425531914893,0.25,0.22549019607843138,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2005,Networking,435,0.20175438596491227,0.18181818181818182,0.200836820083682,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2006,Networking,435,0.16225165562913907,0.1875,0.16352201257861634,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Networking,435,0.12947658402203857,0.14285714285714285,0.129973474801061,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Applied Engineering Sciences,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Applied Engineering Sciences,487,0.009615384615384616,0.0,0.006756756756756757,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Applied Engineering Sciences,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,General Engineering,75,0.056074766355140186,0.14285714285714285,0.0703125,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2013,General Engineering,75,0.11627906976744186,0.4,0.14583333333333334,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2012,General Engineering,75,0.06779661016949153,0.0,0.05405405405405406,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2010,General Engineering,75,0.17333333333333334,0.05263157894736842,0.14893617021276595,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2011,General Engineering,75,0.07317073170731707,0.3333333333333333,0.0989010989010989,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2011,Aerospace Engineering,182,0.14098360655737704,0.08108108108108109,0.12928759894459102,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Aerospace Engineering,182,0.1148036253776435,0.1566265060240964,0.12318840579710146,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Aerospace Engineering,182,0.0967741935483871,0.13095238095238096,0.10352941176470588,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Aerospace Engineering,182,0.09659090909090909,0.0,0.07727272727272727,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Chemical Engineering,487,0.012244897959183673,0.0,0.00906344410876133,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Chemical Engineering,487,0.011278195488721804,0.0,0.008620689655172414,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Chemical Engineering,487,0.006825938566552901,0.012048192771084338,0.007978723404255319,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Chemical Engineering,487,0.003048780487804878,0.02127659574468085,0.0071090047393364926,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Chemical Engineering,487,0.0028089887640449437,0.0,0.002145922746781116,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Civil Engineering,487,0.003289473684210526,0.0,0.0027548209366391185,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Civil Engineering,487,0.0,0.014084507042253521,0.0026455026455026454,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Civil Engineering,487,0.010344827586206896,0.0,0.008310249307479225,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2004,Civil Engineering,287,0.12121212121212122,0.10344827586206896,0.11578947368421053,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2005,Civil Engineering,287,0.05,0.03225806451612903,0.04504504504504504,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2006,Civil Engineering,287,0.1375,0.05405405405405406,0.1111111111111111,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Civil Engineering,287,0.05504587155963303,0.04878048780487805,0.05333333333333334,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2008,Civil Engineering,287,0.08620689655172414,0.07692307692307693,0.08333333333333333,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Civil Engineering,287,0.1242603550295858,0.04,0.1050228310502283,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2014,Civil Engineering,287,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2013,Civil Engineering,75,0.08695652173913043,0.058823529411764705,0.07936507936507936,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2012,Civil Engineering,75,0.0,0.0,0.0,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2011,Civil Engineering,75,0.07547169811320754,0.0,0.058823529411764705,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2010,Civil Engineering,75,0.05357142857142857,0.0,0.04225352112676056,"Extension Services, Academic Alliance",Bachelor's and master's degrees only
2010,Computer Engineering,85,0.1056338028169014,0.05,0.09876543209876543,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Engineering,85,0.056338028169014086,0.13043478260869565,0.06666666666666667,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2012,Computer Engineering,85,0.1267605633802817,0.1111111111111111,0.1242603550295858,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2009,Computer Engineering,487,0.025477707006369428,0.05,0.02824858757062147,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2010,Computer Engineering,487,0.005555555555555556,0.047619047619047616,0.009950248756218905,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2011,Computer Engineering,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2005,Computer Engineering,97,0.020202020202020204,0.0625,0.02608695652173913,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2006,Computer Engineering,97,0.10843373493975904,0.0,0.0967741935483871,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
2007,Computer Engineering,97,0.011235955056179775,0.0,0.01020408163265306,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees"
